1991,Sandrine Bisson,Jean-Carl Boucher,Ricardo Trogi,GO Films,07/27/2018-08/02/2018,0.002865
1991,Sandrine Bisson,Jean-Carl Boucher,Ricardo Trogi,GO Films,08/03/2018-08/09/2018,0.002418
1991,Sandrine Bisson,Jean-Carl Boucher,Ricardo Trogi,GO Films,08/10/2018-08/16/2018,0.001309
1991,Sandrine Bisson,Jean-Carl Boucher,Ricardo Trogi,GO Films,08/17/2018-08/23/2018,0.001227
102 Not Out,Amitabh Bachchan,Rishi Kapoor,Umesh Shukla,Treetop Entertainment,05/04/2018-05/10/2018,0.003086
102 Not Out,Amitabh Bachchan,Rishi Kapoor,Umesh Shukla,Treetop Entertainment,05/11/2018-05/17/2018,0.002136
12 Strong,Chris Hemsworth,Michael Shannon,Nicolai Fuglsig,Warner Bros. Pictures,01/19/2018-01/25/2018,0.114981
12 Strong,Chris Hemsworth,Michael Shannon,Nicolai Fuglsig,Warner Bros. Pictures,01/26/2018-02/01/2018,0.061909
12 Strong,Chris Hemsworth,Michael Shannon,Nicolai Fuglsig,Warner Bros. Pictures,02/02/2018-02/08/2018,0.051518
12 Strong,Chris Hemsworth,Michael Shannon,Nicolai Fuglsig,Warner Bros. Pictures,02/09/2018-02/15/2018,0.019383
12 Strong,Chris Hemsworth,Michael Shannon,Nicolai Fuglsig,Warner Bros. Pictures,02/16/2018-02/22/2018,0.003247
12 Strong,Chris Hemsworth,Michael Shannon,Nicolai Fuglsig,Warner Bros. Pictures,02/23/2018-03/01/2018,0.002015
12 Strong,Chris Hemsworth,Michael Shannon,Nicolai Fuglsig,Warner Bros. Pictures,03/02/2018-03/08/2018,0.001114
2001: A Space Odyssey,Keir Dullea,Gary Lockwood,Stanley Kubrick,Warner Bros. Pictures,05/18/2018-05/24/2018,0.001138
7 Days in Entebbe,Batsheva Dance Company,Zina Zinchenko,José Padilha,Focus Features,03/16/2018-03/22/2018,0.012422
7 Days in Entebbe,Batsheva Dance Company,Zina Zinchenko,José Padilha,Focus Features,03/23/2018-03/29/2018,0.004623
A Fantastic Woman,Daniela Vega,Francisco Reyes,Sebastián Lelio,Sony Pictures Classics,03/02/2018-03/08/2018,0.001158
A Fantastic Woman,Daniela Vega,Francisco Reyes,Sebastián Lelio,Sony Pictures Classics,03/09/2018-03/15/2018,0.002073
A Fantastic Woman,Daniela Vega,Francisco Reyes,Sebastián Lelio,Sony Pictures Classics,03/16/2018-03/22/2018,0.001686
A Quiet Place,Emily Blunt,John Krasinski,John Krasinski,Paramount Pictures,04/06/2018-04/12/2018,0.312301
A Quiet Place,Emily Blunt,John Krasinski,John Krasinski,Paramount Pictures,04/13/2018-04/19/2018,0.221562
A Quiet Place,Emily Blunt,John Krasinski,John Krasinski,Paramount Pictures,04/20/2018-04/26/2018,0.169739
A Quiet Place,Emily Blunt,John Krasinski,John Krasinski,Paramount Pictures,04/27/2018-05/03/2018,0.035584
