Week,Movie,Week Box Office,Week Total,Week Share
1,Hidden Figures,"31,428,922.00","191,325,275.00",0.16427
1,Rogue One: A Star Wars Story,"29,790,380.00","191,325,275.00",0.155705
1,Sing,"25,415,875.00","191,325,275.00",0.132841
1,Underworld: Blood Wars,"18,116,118.00","191,325,275.00",0.094688
1,La La Land,"17,924,982.00","191,325,275.00",0.093689
1,Passengers (2016),"12,286,688.00","191,325,275.00",0.064219
1,Why Him?,"9,773,494.00","191,325,275.00",0.051083
1,Moana,"8,324,943.00","191,325,275.00",0.043512
1,Fences,"7,169,098.00","191,325,275.00",0.037471
1,Assassin's Creed,"5,797,858.00","191,325,275.00",0.030304
1,Manchester by the Sea,"4,053,493.00","191,325,275.00",0.021186
1,Lion,"3,249,885.00","191,325,275.00",0.016986
1,A Monster Calls,"2,732,136.00","191,325,275.00",0.01428
1,Fantastic Beasts and Where To Find Them,"2,614,752.00","191,325,275.00",0.013667
1,Collateral Beauty,"1,760,974.00","191,325,275.00",0.009204
1,Jackie,"1,556,538.00","191,325,275.00",0.008136
1,Arrival,"1,258,058.00","191,325,275.00",0.006575
1,Office Christmas Party,"1,220,716.00","191,325,275.00",0.00638
1,Dangal,"1,126,096.00","191,325,275.00",0.005886
1,Silence (2016),"699,689.00","191,325,275.00",0.003657
1,Moonlight (2016),"594,499.00","191,325,275.00",0.003107
1,Trolls,"555,164.00","191,325,275.00",0.002902
1,Doctor Strange,"444,490.00","191,325,275.00",0.002323
1,Hacksaw Ridge,"315,138.00","191,325,275.00",0.001647
1,One Piece Film: Gold,"293,045.00","191,325,275.00",0.001532
1,Master,"260,474.00","191,325,275.00",0.001361
1,The Accountant,"192,398.00","191,325,275.00",0.001006
2,Hidden Figures,"33,605,651.00","219,557,700.00",0.153061
2,La La Land,"21,748,928.00","219,557,700.00",0.099058
2,Sing,"21,109,675.00","219,557,700.00",0.096146
2,Rogue One: A Star Wars Story,"20,073,829.00","219,557,700.00",0.091428
2,Patriots Day,"16,715,863.00","219,557,700.00",0.076134
2,The Bye Bye Man,"16,559,630.00","219,557,700.00",0.075423
2,Monster Trucks,"15,611,554.00","219,557,700.00",0.071105
2,Sleepless,"11,486,904.00","219,557,700.00",0.052318
2,Underworld: Blood Wars,"8,794,841.00","219,557,700.00",0.040057
2,Passengers (2016),"7,853,457.00","219,557,700.00",0.035769
2,Live By Night,"7,481,705.00","219,557,700.00",0.034076
